Degree,Employed(%),Full-Time Permanent Employment(%),Basic Monthly Salary Mean (SGD),Basic Monthly Salary Median (SGD),Gross Monthly Salary Mean (SGD),Gross Monthly Salary Median (SGD),Gross Monthly Salary 25th Percentile (SGD),Gross Monthly Salary 75th Percentile (SGD)
Bachelor of Early Childhood Education,93.0,88.4,2949,3000,2963,3000,2800,3100
Bachelor of Human Resource Management,95.6,80.9,3249,3200,3412,3200,3000,3500
Bachelor of Social Work,94.7,86.8,3432,3530,3461,3530,3400,3580
Bachelor of Accountancy,98.6,89.0,3199,3200,3231,3200,3000,3400
Bachelor of Science in Business Analytics,93.5,83.9,4218,3800,4372,3800,3350,4900
Bachelor of Science in Finance,84.4,56.3,3856,3500,3862,3500,3300,4350
Bachelor of Science in Marketing,92.4,63.6,3303,3200,3411,3275,2820,3600
Bachelor of Science in Supply Chain Management,97.4,79.5,3245,3200,3381,3300,3025,3500
